"","ID","sex","BANDING_DAY","BANDING_MONTH","BANDING_YEAR","B_COORD_PRECISION","B_REGION","B_LOC","B_LAT_DECIMAL_DEGREES","B_LON_DECIMAL_DEGREES","B_FLYWAY_CHR","BEARING_BBL","DISTANCE_BBL","E_REGION","E_LOC","E_COORD_PRECISION","E_LAT_DECIMAL_DEGREES","E_LON_DECIMAL_DEGREES","E_FLYWAY_CHR","E_PRESENT_CONDITION_CODE","E_COND","E_WHO","ENCOUNTER_DAY","ENCOUNTER_MONTH","ENCOUNTER_YEAR","dist_km","bearing_degs","avg_ExtAg","extB","extE","diffAg","B_TAVG_JULY","B_TMIN_MAY","B_TMIN_JULY","B_TMAX_MAY","B_TMAX_JULY","B_TMAX_AUG","B_TMAX_MAR","B_TMIN_MAR","B_TMAX_JAN","B_TMIN_JAN","B_TMIN_AUG","dispType30","dispType25","B_LAT_DD_10MINBLOCK","B_LON_DD_10MINBLOCK","E_LAT_DD_10MINBLOCK","E_LON_DD_10MINBLOCK","bearing_10MINBLOCK","dist_km_10minblock","E_WHO_BIN"
"1",66,"U",17,6,1972,10,50,"Minnesota",46.41667,-95.25,"Mississippi","SSE",65.8,50,"Minnesota",10,45.58333,-94.58333,"Mississippi",7,"A","Bander",31,7,1973,106.049331097504,150.618648558952,0.668971167496205,0.727681811583684,0.727681811583684,0,-1.48491728305817,2.80858945846558,-1.13332867622375,1.3711074590683,-1.85272622108459,-0.0521761104464531,5.48416233062744,7.8248348236084,3.91418838500977,4.30487775802612,0.663837313652039,1,1,46.4166666666667,-95.25,45.5833333333333,-94.5833333333333,150.618576655971,106.048558162832,"Researcher"
"2",124,"M",19,7,1981,10,47,"Massachusetts",42.58333,-71.75,"Atlantic","SE",68.8,47,"Massachusetts",10,41.91667,-70.75,"Atlantic",5,"D","Public",10,4,1982,110.877160506161,131.564964274128,0.0389146949242754,0.115691682392219,0,-0.115691682392219,0.458224415779114,0.781389713287354,0.649290800094604,1.30895864963531,0.260269224643707,-0.0560842305421829,0.14804607629776,-1.04790723323822,-3.60567092895508,-4.81839990615845,-0.608923256397247,1,1,42.5833333333333,-71.75,41.9166666666667,-70.75,131.565249077007,110.877655053975,"Public"
"3",176,"F",7,8,1980,10,18,"Connecticut",41.75,-73.25,"Atlantic","NW",14.4,18,"Connecticut",10,41.91667,-73.41667,"Atlantic",7,"A","Bander",4,6,1981,23.1164724768256,-36.7363726783569,0.149410032557079,0.290317898098418,0.378284221222238,0.0879663231238206,0.726043462753296,0.931092739105225,0.634799897670746,1.52403461933136,0.861965298652649,1.43796718120575,0.388484746217728,-0.117728143930435,-3.33178806304932,-4.47119092941284,1.84943425655365,0,0,41.75,-73.25,41.9166666666667,-73.4166666666667,-36.7363745115122,23.1160103678547,"Researcher"
"4",215,"F",3,8,1978,10,33,"Idaho",44.58333,-116.08333,"Pacific","NNW",24.4,33,"Idaho",10,44.91667,-116.25,"Pacific",5,"D","Agency",7,5,1979,39.3240773640174,-19.5523364217332,0.0415230993727605,0.0300479024531862,0.151255624909276,0.121207722456089,-0.61632913351059,-0.27619543671608,0.257003664970398,-2.32118844985962,-1.34446918964386,-1.21882915496826,1.85427308082581,0.669734001159668,-5.48935604095459,-7.6697096824646,-0.77280205488205,1,1,44.5833333333333,-116.083333333333,44.9166666666667,-116.25,-19.5523375936091,39.3232908992188,"Researcher"
"5",276,"F",28,7,1986,10,49,"Michigan",42.25,-83.58333,"Mississippi","W",8.5,49,"Michigan",10,42.25,-83.75,"Mississippi",5,"D","Public",10,4,1987,13.7545523128027,-89.9439682903733,0.130661199012919,0.0782406735375236,0.327188271156917,0.248947597619393,0.860767424106598,1.78911519050598,1.45604729652405,0.725344359874725,0.322107672691345,-1.37010192871094,3.44273853302002,1.63710582256317,1.09007287025452,2.15816473960876,-1.05491197109222,0,0,42.25,-83.5833333333333,42.25,-83.75,-89.9439694109859,13.7542772273466,"Public"
"6",287,"F",3,7,1990,10,50,"Minnesota",44.75,-92.75,"Mississippi","NNE",66.1,91,"Wisconsin",10,45.58333,-92.08333,"Mississippi",7,"A","Bander",19,4,1991,106.413532494804,29.2710116066053,0.780349906876844,0.847873421396429,0.477718101320946,-0.370155320075483,-0.40213018655777,-1.20257270336151,0.163544505834579,-1.6178172826767,-0.856772840023041,-0.14260421693325,2.98346638679504,2.66361379623413,0.137908205389977,-0.16717141866684,0.831233382225037,1,1,44.75,-92.75,45.5833333333333,-92.0833333333333,29.2707910192075,106.413725100931,"Researcher"
"7",314,"M",7,6,1991,10,72,"Pennsylvania",40.58333,-76.08333,"Atlantic","E",8.7,72,"Pennsylvania",10,40.58333,-75.91667,"Atlantic",10,"A","Other",19,4,1992,14.1098979875525,89.945789372839,0.137882856728117,0.0203222528668892,0.31557555523298,0.295253302366091,1.13993966579437,3.35601472854614,1.17746794223785,4.33951759338379,1.27750313282013,1.62840032577515,-1.03082633018494,-0.321787625551224,2.01136350631714,2.01232266426086,1.08864259719849,0,0,40.5833333333333,-76.0833333333333,40.5833333333333,-75.9166666666667,89.9457872006435,14.1104617054077,"Public"
"8",351,"F",5,6,1988,10,88,"Virginia",38.91667,-77.41667,"Atlantic",NA,0,88,"Virginia",10,38.91667,-77.41667,"Atlantic",7,"A","Bander",14,5,1989,0,NA,0.313640102578991,0.274640731601103,0.31557555523298,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,38.9166666666667,-77.4166666666667,38.9166666666667,-77.4166666666667,NA,0,"Researcher"
"9",389,"M",18,6,1983,10,72,"Pennsylvania",40.91667,-75.25,"Atlantic","S",103.9,59,"New Jersey",10,39.41667,-75.08333,"Atlantic",5,"D","Public",8,4,1984,167.160711666709,175.07377477949,0.283902210129394,0.00943533168819858,0.153723327043112,0.144287995354914,0.963818192481995,-0.547527194023132,0.373723804950714,-1.20930516719818,1.68717157840729,1.78193068504333,-3.38468360900879,-2.42250323295593,-1.8989189863205,-1.94622325897217,0.978190898895264,1,1,40.9166666666667,-75.25,39.4166666666667,-75.0833333333333,175.073872596762,167.160687516679,"Public"
"10",403,"F",30,5,2000,10,88,"Virginia",38.75,-77.58333,"Atlantic","ENE",42.6,46,"Maryland",10,39.08333,-76.91667,"Atlantic",7,"A","Agency",10,5,2001,68.6454534717073,57.1711874734259,0.026262603704903,0.140659021628683,0.0693859776455218,-0.0712730439831616,-1.54990911483765,1.56215715408325,-0.631121814250946,1.60347032546997,-2.25840616226196,-1.36394691467285,-1.43271541595459,-1.06833708286285,0.381493240594864,-0.0969890728592873,0.147240310907364,1,1,38.75,-77.5833333333333,39.0833333333333,-76.9166666666667,57.1711847625172,68.6461387934964,"Researcher"
